n/t = ,func,input,result
larger than 5,Our Formula,"(77,1)",96
larger than 5,Our Formula,"(77,7)",10755744
larger than 5,Our Formula,"(77,11)",10283925728
1,Our Formula,"(77,77)",3877235822793204186538665339285875138616282068541258371827
larger than 5,Our Formula,"(78,1)",112
larger than 5,Our Formula,"(78,3)",6552
larger than 5,Our Formula,"(78,13)",338988949456
2,Our Formula,"(78,39)",2160013552950655674072789426806
larger than 5,Our Formula,"(79,1)",80
1,Our Formula,"(79,79)",329974270277345335634121127701846890318033614218536611392954
larger than 5,Our Formula,"(80,1)",168
larger than 5,Our Formula,"(80,5)",385720
larger than 5,Our Formula,"(81,1)",82
larger than 5,Our Formula,"(81,3)",7290
larger than 5,Our Formula,"(81,9)",497494656
3,Our Formula,"(81,27)",9004706194063650773422
1,Our Formula,"(81,81)",28780582549650150251448925832726395814200010563333350196348007
larger than 5,Our Formula,"(82,1)",84
2,Our Formula,"(82,41)",205211418202551595024048445245390
larger than 5,Our Formula,"(83,1)",84
1,Our Formula,"(83,83)",2571094339146674647973764220632930190295328134884735569518257077
larger than 5,Our Formula,"(84,1)",192
larger than 5,Our Formula,"(84,3)",9536
larger than 5,Our Formula,"(84,7)",19413696
4,Our Formula,"(84,21)",628799165518986936
larger than 5,Our Formula,"(85,1)",108
larger than 5,Our Formula,"(85,5)",466632
5,Our Formula,"(85,17)",770735200510644
1,Our Formula,"(85,85)",235117732159938777620048867681655637050866415599863466384872837277
larger than 5,Our Formula,"(86,1)",88
2,Our Formula,"(86,43)",20411760871741597093833218224718586
larger than 5,Our Formula,"(87,1)",120
larger than 5,Our Formula,"(87,3)",8960
3,Our Formula,"(87,29)",972355034498103526355868
1,Our Formula,"(87,87)",21997003642680491538099502573016508716460213478701959970788877682719
larger than 5,Our Formula,"(88,1)",192
larger than 5,Our Formula,"(88,11)",33571116480
larger than 5,Our Formula,"(89,1)",90
1,Our Formula,"(89,89)",2104385344437836230701350356430112637671616492051924050096575328703289
larger than 5,Our Formula,"(90,1)",120
larger than 5,Our Formula,"(90,3)",10808
larger than 5,Our Formula,"(90,5)",607576
larger than 5,Our Formula,"(90,9)",1084942880
larger than 5,Our Formula,"(90,15)",46475073051480
2,Our Formula,"(90,45)",2121139533853458733835392632074728232
larger than 5,Our Formula,"(91,1)",112
larger than 5,Our Formula,"(91,7)",29477824
larger than 5,Our Formula,"(91,13)",1525545341200
1,Our Formula,"(91,91)",205756559206922319576162161916088095667536216169562481510094143120847901
larger than 5,Our Formula,"(92,1)",144
4,Our Formula,"(92,23)",76577486745078116886
larger than 5,Our Formula,"(93,1)",128
larger than 5,Our Formula,"(93,3)",10880
3,Our Formula,"(93,31)",111848766536501721832205352
1,Our Formula,"(93,93)",20551401139209937724397974470841975369031979910384979734656323892851321731
larger than 5,Our Formula,"(94,1)",96
2,Our Formula,"(94,47)",229840608848364519826224104449985835618
larger than 5,Our Formula,"(95,1)",120
larger than 5,Our Formula,"(95,5)",777536
5,Our Formula,"(95,19)",103902455696809949
1,Our Formula,"(95,95)",2095994353112354310082046661086145192469223860576378342395088006174221250434
larger than 5,Our Formula,"(96,1)",208
larger than 5,Our Formula,"(96,3)",13888
larger than 5,Our Formula,"(97,1)",98
1,Our Formula,"(97,97)",218177359470792583097221362294511439508157862588913722170069663478179365306844
larger than 5,Our Formula,"(98,1)",100
larger than 5,Our Formula,"(98,7)",46398468
2,Our Formula,"(98,49)",25922938989489295580289933710143306045312
larger than 5,Our Formula,"(99,1)",120
larger than 5,Our Formula,"(99,3)",13976
larger than 5,Our Formula,"(99,9)",2204511920
larger than 5,Our Formula,"(99,11)",90376013240
3,Our Formula,"(99,33)",13649338201330188650140670599
1,Our Formula,"(99,99)",23169570845670663968317691175268709095221725874784264421376031344713467854129313
larger than 5,Our Formula,"(100,1)",156
larger than 5,Our Formula,"(100,5)",1066260
4,Our Formula,"(100,25)",10082708132888609463968
larger than 5,Our Formula,"(101,1)",102
1,Our Formula,"(101,101)",2509228701093792523330483245836813144348188403262025864346665187004299593176931153
larger than 5,Our Formula,"(102,1)",144
larger than 5,Our Formula,"(102,3)",14280
larger than 5,Our Formula,"(102,17)",7136878185480304
2,Our Formula,"(102,51)",3038338216859424214775556586080216570404382
larger than 5,Our Formula,"(103,1)",104
1,Our Formula,"(103,103)",277018390958741791638673414528112993443709102780817423070682305930391534556353771817
larger than 5,Our Formula,"(104,1)",224
larger than 5,Our Formula,"(104,13)",5906224403360
larger than 5,Our Formula,"(105,1)",192
larger than 5,Our Formula,"(105,3)",16064
larger than 5,Our Formula,"(105,5)",1267072
larger than 5,Our Formula,"(105,7)",71865408
larger than 5,Our Formula,"(105,15)",256955077131200
5,Our Formula,"(105,21)",15344459486953307541
3,Our Formula,"(105,35)",1760802853912416888639356386302
1,Our Formula,"(105,105)",31164613121878612855603192849683420847195491068175506910427858165956713658762415381428
larger than 5,Our Formula,"(106,1)",108
2,Our Formula,"(106,53)",369515422558824189243046618422506170846108614
larger than 5,Our Formula,"(107,1)",108
1,Our Formula,"(107,107)",3571449370824892536460603240105226842120001545826694537949159461675048490282779116752717
larger than 5,Our Formula,"(108,1)",168
larger than 5,Our Formula,"(108,3)",19624
larger than 5,Our Formula,"(108,9)",4406878240
4,Our Formula,"(108,27)",1426224430451902773515776
larger than 5,Our Formula,"(109,1)",110
1,Our Formula,"(109,109)",416780627940628058830423578774172370820260891821656773266169212582509112751086792017698804
larger than 5,Our Formula,"(110,1)",144
larger than 5,Our Formula,"(110,5)",1534416
larger than 5,Our Formula,"(110,11)",229122246864
2,Our Formula,"(110,55)",46566445938346942858995308425224090509574439470
larger than 5,Our Formula,"(111,1)",152
larger than 5,Our Formula,"(111,3)",18240
3,Our Formula,"(111,37)",239362101342834862231826770602273
1,Our Formula,"(111,111)",49511599502051737942343437106598583554800201787800716294990697314600548958167075457042363669
larger than 5,Our Formula,"(112,1)",224
larger than 5,Our Formula,"(112,7)",110031584
larger than 5,Our Formula,"(113,1)",114
1,Our Formula,"(113,113)",5985550797337273902026428132216339181413873310590330707358303838456398215641170831204814251054
larger than 5,Our Formula,"(114,1)",160
larger than 5,Our Formula,"(114,3)",19760
larger than 5,Our Formula,"(114,19)",1210850490434027296
2,Our Formula,"(114,57)",6072968988661657098866768986827196046731703774154
larger than 5,Our Formula,"(115,1)",144
larger than 5,Our Formula,"(115,5)",1885056
5,Our Formula,"(115,23)",2460945555641066117615
1,Our Formula,"(115,115)",736148205013245285485876862254458308459483095552672167579022343334661639375956762590131825996486
larger than 5,Our Formula,"(116,1)",180
4,Our Formula,"(116,29)",215579740920584047403430594
larger than 5,Our Formula,"(117,1)",140
larger than 5,Our Formula,"(117,3)",22652
larger than 5,Our Formula,"(117,9)",7794630648
larger than 5,Our Formula,"(117,13)",18950531200820
3,Our Formula,"(117,39)",34191946945697858096398924893241756
1,Our Formula,"(117,117)",92079141812427572783467891843148392822253951450399635275570823504701832091922664441103972536168264
larger than 5,Our Formula,"(118,1)",120
2,Our Formula,"(118,59)",818651514830922393985877051675500945302200139795994
larger than 5,Our Formula,"(119,1)",144
larger than 5,Our Formula,"(119,7)",153661248
larger than 5,Our Formula,"(119,17)",48298202593796336
1,Our Formula,"(119,119)",11710284607598127848850580506885521629847456115181256327884998883210986000761913975009643763552257413
larger than 5,Our Formula,"(120,1)",384
larger than 5,Our Formula,"(120,3)",28576
larger than 5,Our Formula,"(120,5)",2558336
larger than 5,Our Formula,"(120,15)",1181264451523424
larger than 5,Our Formula,"(121,1)",122
larger than 5,Our Formula,"(121,11)",535428456530
1,Our Formula,"(121,121)",1513781960341982689405822309522331206060673905598830478459752439182463263711940104461688544806555891593
larger than 5,Our Formula,"(122,1)",124
2,Our Formula,"(122,61)",113942274693414208507716486783538700836539293088797144
larger than 5,Our Formula,"(123,1)",168
larger than 5,Our Formula,"(123,3)",24640
3,Our Formula,"(123,41)",5119431841999294005609834907112969279
1,Our Formula,"(123,123)",198853105929756451727781898328201278815808164220453123805573385107748135202995196576904707153406701871017
larger than 5,Our Formula,"(124,1)",192
4,Our Formula,"(124,31)",34661386096966803881774487746
larger than 5,Our Formula,"(125,1)",126
larger than 5,Our Formula,"(125,5)",2783150
5,Our Formula,"(125,25)",425579887345215157946212
1,Our Formula,"(125,125)",26537615036459071684785596305913106994126758236169553980497079618557367166139743908684844885191446362833994
larger than 5,Our Formula,"(126,1)",160
larger than 5,Our Formula,"(126,3)",28320
larger than 5,Our Formula,"(126,7)",219630400
larger than 5,Our Formula,"(126,9)",13748137600
larger than 5,Our Formula,"(126,21)",224574126976688465726
2,Our Formula,"(126,63)",16357162803558875063406618705474029781390996782914207744
larger than 5,Our Formula,"(127,1)",128
1,Our Formula,"(127,127)",3597019111758898185686128113533265025194588032548171379771560903655449490759482648333275638126727445244329267
larger than 5,Our Formula,"(128,1)",196
larger than 5,Our Formula,"(129,1)",176
larger than 5,Our Formula,"(129,3)",28336
3,Our Formula,"(129,43)",801610037832317117394124137215421712900
1,Our Formula,"(129,129)",495073030114946028303138279931696027123030756580351993358852244276087245212474871040924227733743850314868149435
larger than 5,Our Formula,"(130,1)",168
larger than 5,Our Formula,"(130,5)",3347400
larger than 5,Our Formula,"(130,13)",55688191180728
2,Our Formula,"(130,65)",2419616063394489788593830033972709061060014494555033175936
larger than 5,Our Formula,"(131,1)",132
1,Our Formula,"(131,131)",69173389498001515990147377402919767054831507542511595701204944724206521863204229568782794265210036834125994944513
larger than 5,Our Formula,"(132,1)",288
larger than 5,Our Formula,"(132,3)",35040
larger than 5,Our Formula,"(132,11)",1197996812448
4,Our Formula,"(132,33)",5904404173002008045389490999226
larger than 5,Our Formula,"(133,1)",160
larger than 5,Our Formula,"(133,7)",308038240
larger than 5,Our Formula,"(133,19)",10000547723039809039
1,Our Formula,"(133,133)",9809634697220022337521698671615562574731835018948303223626377510813281787005270151602719910931469129476088432790804
larger than 5,Our Formula,"(134,1)",136
2,Our Formula,"(134,67)",368471952624834188290948497130476792085837293984733667485440
larger than 5,Our Formula,"(135,1)",168
larger than 5,Our Formula,"(135,3)",33304
larger than 5,Our Formula,"(135,5)",3993920
larger than 5,Our Formula,"(135,9)",23530477888
larger than 5,Our Formula,"(135,15)",4483375825759712
5,Our Formula,"(135,27)",78886690493257939685864779
3,Our Formula,"(135,45)",130994990432034513784542631878057820448247
1,Our Formula,"(135,135)",1411608649912478872668404781747561068653806668813472950862226742971070157357127019858349595512245527898699970807673054
larger than 5,Our Formula,"(136,1)",288
larger than 5,Our Formula,"(136,17)",263638728708518112
larger than 5,Our Formula,"(137,1)",138
1,Our Formula,"(137,137)",206077246951209994857184864505362105507803211682056759551789456779193366245858527065799137812139738931759634183828768051
larger than 5,Our Formula,"(138,1)",192
larger than 5,Our Formula,"(138,3)",34592
larger than 5,Our Formula,"(138,23)",45148026561473463689928
2,Our Formula,"(138,69)",57717784433054970443326439462448146974037200405736988046888960
larger than 5,Our Formula,"(139,1)",140
1,Our Formula,"(139,139)",30514715053390615593908905361770431233802682203876724062062936879359003043072023932294309659462273237438980047690507166125
larger than 5,Our Formula,"(140,1)",288
larger than 5,Our Formula,"(140,5)",5049696
