,func,input,result
384,Our Formula +1,(258),9332
385,Our Formula -1,(258),0
386,Our Formula 0,(258),684172
387,Our Formula +1,(260),8936
388,Our Formula -1,(260),88
389,Our Formula 0,(260),390336
390,Our Formula +1,(262),8580
391,Our Formula -1,(262),0
392,Our Formula 0,(262),1098370
393,Our Formula +1,(264),12512
394,Our Formula -1,(264),168
395,Our Formula 0,(264),330520
396,Our Formula +1,(266),9156
397,Our Formula -1,(266),0
398,Our Formula 0,(266),938868
399,Our Formula +1,(268),8943
400,Our Formula -1,(268),33
401,Our Formula 0,(268),574728
402,Our Formula +1,(270),9592
403,Our Formula -1,(270),0
404,Our Formula 0,(270),641648
405,Our Formula +1,(272),13134
406,Our Formula -1,(272),82
407,Our Formula 0,(272),569952
408,Our Formula +1,(274),9384
409,Our Formula -1,(274),0
410,Our Formula 0,(274),1257592
411,Our Formula +1,(276),10678
412,Our Formula -1,(276),90
413,Our Formula 0,(276),402128
414,Our Formula +1,(278),9660
415,Our Formula -1,(278),0
416,Our Formula 0,(278),1313898
417,Our Formula +1,(280),13360
418,Our Formula -1,(280),184
419,Our Formula 0,(280),450136
420,Our Formula +1,(282),11140
421,Our Formula -1,(282),0
422,Our Formula 0,(282),896900
423,Our Formula +1,(284),10045
424,Our Formula -1,(284),35
425,Our Formula 0,(284),685720
426,Our Formula +1,(286),10488
427,Our Formula -1,(286),0
428,Our Formula 0,(286),1207872
429,Our Formula +1,(288),13858
430,Our Formula -1,(288),94
431,Our Formula 0,(288),476800
432,Our Formula +1,(290),11056
433,Our Formula -1,(290),0
434,Our Formula 0,(290),1158224
435,Our Formula +1,(292),10620
436,Our Formula -1,(292),36
437,Our Formula 0,(292),746208
438,Our Formula +1,(294),12104
439,Our Formula -1,(294),0
440,Our Formula 0,(294),889300
441,Our Formula +1,(296),13764
442,Our Formula -1,(296),72
443,Our Formula 0,(296),764052
444,Our Formula +1,(298),11100
445,Our Formula -1,(298),0
446,Our Formula 0,(298),1620748
447,Our Formula +1,(300),12606
448,Our Formula -1,(300),98
449,Our Formula 0,(300),431296
450,Our Formula +1,(302),11400
451,Our Formula -1,(302),0
452,Our Formula 0,(302),1687350
453,Our Formula +1,(304),16348
454,Our Formula -1,(304),92
455,Our Formula 0,(304),804360
456,Our Formula +1,(306),12016
457,Our Formula -1,(306),0
458,Our Formula 0,(306),1104272
459,Our Formula +1,(308),12326
460,Our Formula -1,(308),106
461,Our Formula 0,(308),689808
462,Our Formula +1,(310),12624
463,Our Formula -1,(310),0
464,Our Formula 0,(310),1419576
465,Our Formula +1,(312),17376
466,Our Formula -1,(312),200
467,Our Formula 0,(312),559000
468,Our Formula +1,(314),12324
469,Our Formula -1,(314),0
470,Our Formula 0,(314),1898052
471,Our Formula +1,(316),12441
472,Our Formula -1,(316),39
473,Our Formula 0,(316),948792
474,Our Formula +1,(318),14152
475,Our Formula -1,(318),0
476,Our Formula 0,(318),1292192
477,Our Formula +1,(320),17190
478,Our Formula -1,(320),106
479,Our Formula 0,(320),791664
480,Our Formula +1,(322),13380
481,Our Formula -1,(322),0
482,Our Formula 0,(322),1686780
483,Our Formula +1,(324),13080
484,Our Formula -1,(324),40
485,Our Formula 0,(324),686720
486,Our Formula +1,(326),13284
487,Our Formula -1,(326),0
488,Our Formula 0,(326),2125602
489,Our Formula +1,(328),16892
490,Our Formula -1,(328),80
491,Our Formula 0,(328),1045748
492,Our Formula +1,(330),16232
493,Our Formula -1,(330),0
494,Our Formula 0,(330),1066168
495,Our Formula +1,(332),13735
496,Our Formula -1,(332),41
497,Our Formula 0,(332),1102408
498,Our Formula +1,(334),13944
499,Our Formula -1,(334),0
500,Our Formula 0,(334),2286982
501,Our Formula +1,(336),23136
502,Our Formula -1,(336),240
503,Our Formula 0,(336),645936
504,Our Formula +1,(338),14280
505,Our Formula -1,(338),0
506,Our Formula 0,(338),2200296
507,Our Formula +1,(340),15212
508,Our Formula -1,(340),116
509,Our Formula 0,(340),898592
510,Our Formula +1,(342),14984
511,Our Formula -1,(342),0
512,Our Formula 0,(342),1554796
513,Our Formula +1,(344),18576
514,Our Formula -1,(344),84
515,Our Formula 0,(344),1209420
516,Our Formula +1,(346),14964
517,Our Formula -1,(346),0
518,Our Formula 0,(346),2544052
519,Our Formula +1,(348),16942
520,Our Formula -1,(348),114
521,Our Formula 0,(348),820928
522,Our Formula +1,(350),15792
523,Our Formula -1,(350),0
524,Our Formula 0,(350),1811208
525,Our Formula +1,(352),20516
526,Our Formula -1,(352),116
527,Our Formula 0,(352),1204328
528,Our Formula +1,(354),17524
529,Our Formula -1,(354),0
530,Our Formula 0,(354),1789292
531,Our Formula +1,(356),15796
532,Our Formula -1,(356),44
533,Our Formula 0,(356),1362592
534,Our Formula +1,(358),16020
535,Our Formula -1,(358),0
536,Our Formula 0,(358),2819698
537,Our Formula +1,(360),21800
538,Our Formula -1,(360),240
539,Our Formula 0,(360),746920
540,Our Formula +1,(362),16380
541,Our Formula -1,(362),0
542,Our Formula 0,(362),2915820
543,Our Formula +1,(364),17154
544,Our Formula -1,(364),126
545,Our Formula 0,(364),1162080
546,Our Formula +1,(366),18728
547,Our Formula -1,(366),0
548,Our Formula 0,(366),1979632
549,Our Formula +1,(368),23832
550,Our Formula -1,(368),112
551,Our Formula 0,(368),1449528
552,Our Formula +1,(370),17952
553,Our Formula -1,(370),0
554,Our Formula 0,(370),2432928
555,Our Formula +1,(372),19350
556,Our Formula -1,(372),122
557,Our Formula 0,(372),1007248
558,Our Formula +1,(374),17848
559,Our Formula -1,(374),0
560,Our Formula 0,(374),2764712
561,Our Formula +1,(376),22184
562,Our Formula -1,(376),92
563,Our Formula 0,(376),1586252
564,Our Formula +1,(378),18404
565,Our Formula -1,(378),0
566,Our Formula 0,(378),1900324
567,Our Formula +1,(380),18974
568,Our Formula -1,(380),130
569,Our Formula 0,(380),1266816
570,Our Formula +1,(382),18240
571,Our Formula -1,(382),0
572,Our Formula 0,(382),3429310
573,Our Formula +1,(384),26140
574,Our Formula -1,(384),124
575,Our Formula 0,(384),1141096
576,Our Formula +1,(386),18624
577,Our Formula -1,(386),0
578,Our Formula 0,(386),3538752
579,Our Formula +1,(388),18768
580,Our Formula -1,(388),48
581,Our Formula 0,(388),1769088
582,Our Formula +1,(390),22544
583,Our Formula -1,(390),0
584,Our Formula 0,(390),1793296
585,Our Formula +1,(392),24108
586,Our Formula -1,(392),96
587,Our Formula 0,(392),1572804
588,Our Formula +1,(394),19404
589,Our Formula -1,(394),0
590,Our Formula 0,(394),3764572
591,Our Formula +1,(396),20182
592,Our Formula -1,(396),138
593,Our Formula 0,(396),1143920
594,Our Formula +1,(398),19800
595,Our Formula -1,(398),0
596,Our Formula 0,(398),3880998
597,Our Formula +1,(400),28102
598,Our Formula -1,(400),122
599,Our Formula 0,(400),1555776
600,Our Formula +1,(402),22580
601,Our Formula -1,(402),0
602,Our Formula 0,(402),2630620
603,Our Formula +1,(404),20350
604,Our Formula -1,(404),50
605,Our Formula 0,(404),1999600
606,Our Formula +1,(406),21216
607,Our Formula -1,(406),0
608,Our Formula 0,(406),3423288
609,Our Formula +1,(408),29504
610,Our Formula -1,(408),264
611,Our Formula 0,(408),1288888
612,Our Formula +1,(410),22024
613,Our Formula -1,(410),0
614,Our Formula 0,(410),3323576
615,Our Formula +1,(412),21165
616,Our Formula -1,(412),51
617,Our Formula 0,(412),2122008
618,Our Formula +1,(414),21904
619,Our Formula -1,(414),0
620,Our Formula 0,(414),2792468
621,Our Formula +1,(416),28486
622,Our Formula -1,(416),138
623,Our Formula 0,(416),2028080
624,Our Formula +1,(418),22260
625,Our Formula -1,(418),0
626,Our Formula 0,(418),3890220
627,Our Formula +1,(420),26588
628,Our Formula -1,(420),324
629,Our Formula 0,(420),1021408
630,Our Formula +1,(422),22260
631,Our Formula -1,(422),0
632,Our Formula 0,(422),4630290
633,Our Formula +1,(424),28196
634,Our Formula -1,(424),104
635,Our Formula 0,(424),2286740
636,Our Formula +1,(426),25348
637,Our Formula -1,(426),0
638,Our Formula 0,(426),3135572
639,Our Formula +1,(428),22843
640,Our Formula -1,(428),53
641,Our Formula 0,(428),2381608
642,Our Formula +1,(430),24216
643,Our Formula -1,(430),0
644,Our Formula 0,(430),3840624
645,Our Formula +1,(432),32724
646,Our Formula -1,(432),132
647,Our Formula 0,(432),1631208
648,Our Formula +1,(434),24228
649,Our Formula -1,(434),0
650,Our Formula 0,(434),4194252
651,Our Formula +1,(436),23706
652,Our Formula -1,(436),54
653,Our Formula 0,(436),2518992
654,Our Formula +1,(438),26792
655,Our Formula -1,(438),0
656,Our Formula 0,(438),3410632
657,Our Formula +1,(440),32320
658,Our Formula -1,(440),296
659,Our Formula 0,(440),1885784
660,Our Formula +1,(442),24840
661,Our Formula -1,(442),0
662,Our Formula 0,(442),4642680
663,Our Formula +1,(444),27534
664,Our Formula -1,(444),146
665,Our Formula 0,(444),1730560
666,Our Formula +1,(446),24864
667,Our Formula -1,(446),0
